Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,ES 06-18,Sim101,,Long,1,2666.75,2667.25,5/8/2018 9:34:00 AM,5/8/2018 9:34:35 AM,,,$25.00,$25.00,$0.00,$25.00,$25.00,$0.00,0,
2,ES 06-18,Sim101,,Long,1,2668.00,2664.00,5/8/2018 9:35:27 AM,5/8/2018 9:36:12 AM,,Close,($200.00),($175.00),$0.00,$200.00,$12.50,$212.50,0,
3,ES 06-18,Sim101,,Short,1,2664.00,2665.75,5/8/2018 9:36:12 AM,5/8/2018 9:40:18 AM,,Close,($87.50),($262.50),$0.00,$87.50,$75.00,$162.50,0,
4,ES 06-18,Sim101,,Long,1,2663.50,2664.00,5/8/2018 12:24:31 PM,5/8/2018 12:25:11 PM,,,$25.00,($237.50),$0.00,$12.50,$25.00,$0.00,0,
5,ES 06-18,BreakOuts,2,Long,1,2663.00,2661.00,5/8/2018 1:55:07 PM,5/8/2018 1:57:53 PM,Entry,Stop1,($100.00),($337.50),$0.00,$100.00,$25.00,$125.00,0,
6,ES 06-18,BreakOuts,2,Long,1,2661.00,2662.50,5/8/2018 1:58:07 PM,5/8/2018 2:02:23 PM,Entry,Exit,$75.00,($262.50),$0.00,$37.50,$75.00,$0.00,0,
7,ES 06-18,BreakOuts,2,Long,1,2662.50,2661.75,5/8/2018 2:03:02 PM,5/8/2018 2:06:34 PM,Entry,Exit,($37.50),($300.00),$0.00,$75.00,$37.50,$75.00,0,
8,ES 06-18,BreakOuts,2,Short,1,2660.75,2660.75,5/8/2018 2:10:11 PM,5/8/2018 2:12:18 PM,Entry,Exit,$0.00,($300.00),$0.00,$12.50,$25.00,$25.00,0,
9,ES 06-18,BreakOuts,2,Short,1,2660.00,2658.50,5/8/2018 2:13:08 PM,5/8/2018 2:13:25 PM,Entry,Exit,$75.00,($225.00),$0.00,$12.50,$75.00,$0.00,0,
10,ES 06-18,BreakOuts,2,Long,1,2661.25,2662.50,5/8/2018 2:13:50 PM,5/8/2018 2:14:00 PM,Entry,Exit,$62.50,($162.50),$0.00,$0.00,$112.50,$50.00,0,
11,ES 06-18,BreakOuts,2,Short,1,2659.00,2659.00,5/8/2018 2:59:00 PM,5/8/2018 2:59:42 PM,Entry,Exit,$0.00,($162.50),$0.00,$62.50,$12.50,$12.50,0,
12,ES 06-18,BreakOuts,2,Short,1,2657.75,2657.00,5/8/2018 3:00:38 PM,5/8/2018 3:00:41 PM,Entry,Exit,$37.50,($125.00),$0.00,$12.50,$50.00,$12.50,0,
13,ES 06-18,BreakOuts,2,Long,1,2662.75,2663.25,5/8/2018 3:05:03 PM,5/8/2018 3:05:43 PM,Entry,Exit,$25.00,($100.00),$0.00,$25.00,$50.00,$25.00,0,
14,ES 06-18,BreakOuts,2,Long,1,2662.50,2663.00,5/8/2018 3:07:59 PM,5/8/2018 3:08:07 PM,Entry,Exit,$25.00,($75.00),$0.00,$0.00,$37.50,$12.50,0,
15,ES 06-18,BreakOuts,2,Long,1,2664.50,2665.25,5/8/2018 3:11:11 PM,5/8/2018 3:11:22 PM,Entry,Exit,$37.50,($37.50),$0.00,$12.50,$62.50,$25.00,0,
16,ES 06-18,BreakOuts,2,Long,1,2666.25,2666.25,5/8/2018 3:12:47 PM,5/8/2018 3:13:03 PM,Entry,Exit,$0.00,($37.50),$0.00,$12.50,$25.00,$25.00,0,
17,ES 06-18,BreakOuts,2,Long,1,2675.00,2673.50,5/9/2018 11:13:44 AM,5/9/2018 11:15:16 AM,Entry,Exit,($75.00),($112.50),$0.00,$87.50,$0.00,$75.00,0,
18,ES 06-18,BreakOuts,2,Short,1,2674.75,2676.75,5/9/2018 11:17:51 AM,5/9/2018 11:20:50 AM,Entry,Stop1,($100.00),($212.50),$0.00,$100.00,$12.50,$112.50,0,
19,ES 06-18,BreakOuts,2,Short,1,2676.75,2678.75,5/9/2018 11:21:48 AM,5/9/2018 11:43:23 AM,Entry,Stop1,($100.00),($312.50),$0.00,$100.00,$75.00,$175.00,0,
20,ES 06-18,BreakOuts,2,Short,1,2684.00,2684.75,5/9/2018 12:26:04 PM,5/9/2018 12:27:04 PM,Entry,Stop1,($37.50),($350.00),$0.00,$37.50,$12.50,$50.00,0,
21,ES 06-18,BreakOuts,2,Long,1,2684.75,2685.75,5/9/2018 12:27:10 PM,5/9/2018 12:28:01 PM,Entry,Exit,$50.00,($300.00),$0.00,$12.50,$62.50,$12.50,0,
22,ES 06-18,BreakOuts,2,Short,1,2686.75,2689.50,5/9/2018 12:30:45 PM,5/9/2018 12:45:32 PM,Entry,Close,($137.50),($437.50),$0.00,$137.50,$62.50,$200.00,0,
23,ES 06-18,BreakOuts,2,Long,1,2694.50,2695.25,5/9/2018 2:28:13 PM,5/9/2018 2:29:31 PM,Entry,Exit,$37.50,($400.00),$0.00,$25.00,$50.00,$12.50,0,
24,ES 06-18,BreakOuts,2,Short,1,2695.75,2697.75,5/9/2018 2:30:52 PM,5/9/2018 2:35:01 PM,Entry,Stop1,($100.00),($500.00),$0.00,$100.00,$37.50,$137.50,0,
25,ES 06-18,BreakOuts,2,Long,1,2696.25,2696.75,5/9/2018 2:38:11 PM,5/9/2018 4:05:29 PM,Entry,Exit,$25.00,($475.00),$0.00,$250.00,$162.50,$137.50,0,
